bibcode,journal,title,year,volume,doi,obj
b'1975IBVS..961....1K',b'IBVS',b'60th name-list of variable stars.',1975,961,b'',tyc 3860-1483-1
b'1974PASP...86..408B',b'PASP',b'Spectrum variations in the Ap-type stars. I. A survey of stars between 7h and 19h right ascension.',1974,86,b'10.1086/129624',tyc 3860-1483-1
b'1974ApJ...194...65W',b'ApJ',b'The manganese stars.',1974,194,b'10.1086/153224',tyc 3860-1483-1
b'1974PASP...86..241E',b'PASP',b'Luminosities and motions of peculiar B-type stars.',1974,86,b'10.1086/129594',tyc 3860-1483-1
b'1973AJ.....78..192W',b'AJ',b'Uvby photometry of Am and Ap stars.',1973,78,b'10.1086/111397',tyc 3860-1483-1
b'1973ApJS...25..137A',b'ApJS',b'The binary frequency for Ap stars.',1973,25,b'10.1086/190265',tyc 3860-1483-1
b'1973ApJ...185..577L',b'ApJ',b'Ultraviolet photometry from the Orbiting Astronomical Observatory. VIII. The blue Ap stars.',1973,185,b'10.1086/152440',tyc 3860-1483-1
b'1972ApJ...175..779A',b'ApJ',b'Rotational velocities of Ap stars.',1972,175,b'10.1086/151598',tyc 3860-1483-1
b'1972A&AS....5..109C',b'A&AS',b'Four-color and H beta photometry for the brighter A0-type stars.',1972,5,b'',tyc 3860-1483-1
b'1972AN....294....1J',b'AN',b'Uber die veranderlichkeit der sterne des spektraltyps A.',1972,294,b'10.1002/asna.19722940102',tyc 3860-1483-1
b'1970A&AS....1..165J',b'A&AS',b'Photoelectric observations of early A stars.',1970,1,b'',tyc 3860-1483-1
b'1970A&AS....1..189F',b'A&AS',b'A catalogue of proper motions for 437 A stars.',1970,1,b'',tyc 3860-1483-1
b'1970MNRAS.147...75D',b'MNRAS',b'Rotation and chemical abundances in the peculiar A stars. II.',1970,147,b'10.1093/mnras/147.1.75',tyc 3860-1483-1
b'1967JO.....50..425B',b'JO',"b""Observations spectrographiques d'etoiles A a spectre particulier et a raies metalliques.""",1967,50,b'',tyc 3860-1483-1
b'1966GeoOM..21....0C',b'GeoOM',b'Investigation of the magnetic and related stars through narrow-band photometry.',1966,21,b'',tyc 3860-1483-1
b'1960JO.....43..129B',b'JO',b'Catalogue et bibliographie des etoiles A a spectre particulier.',1960,43,b'',tyc 3860-1483-1
b'1959JO.....42...45B',b'JO',b'Catalogue et bibliographie des etoiles a spectre particulier.',1959,42,b'',tyc 3860-1483-1
b'1958ApJS....3..141B',b'ApJS',b'A catalog of magnetic stars.',1958,3,b'10.1086/190035',tyc 3860-1483-1
b'1958ZA.....45...35J',b'ZA',b'The position of the peculiar A-type stars in the color-absolute magnitude diagram.',1958,45,b'',tyc 3860-1483-1
b'1951ApJ...113..437S',b'ApJ',b'Lines of neutral oxygen in the infrared spectra of peculiar A stars.',1951,113,b'10.1086/145412',tyc 3860-1483-1
b'1933ApJ....77..330M',b'ApJ',b'Some evidence for the existence of a peculiar branch of the spectral sequence in the interval B8-F0.',1933,77,b'10.1086/143476',tyc 3860-1483-1
b'1926ApJ....64..262D',b'ApJ',b'Spectroscopic magnitudes of A-type stars.',1926,64,b'10.1086/143011',tyc 3860-1483-1
